,,"English","agouti (Black agouti, Black-rumped agouti)","Green Acouchi","alligator","anaconda","ant: leaf-cutter ant","ant: bullet ant; lesser giant hunter ant","armadillo","bat","bee","boa","caterpillar (edible)","tufted capuchin monkey","cicada","collared peccary","cotamundi","cricket","deer","dog (domestic)","dog (wild; bush dog) ","Amazon dolphin","duck","electric eel","fish (generic)","fish (large type)","flea","anteater","brown woolly monkey","hawk","tayra, honey marten","howler monkey (red-handed)","hummingbird","iguana","jaguar","jungle cat","Gray-winged Trumpeter","mandi catfish","pacu fish","tigerfish","guan","White-fronted spider monkey","kingfisher","capybara","paca (lowland)","louse","macaw","manatee","mouse","opossum","Giant Otter","Neotropical Otter (small)","owl (large)","parrot","Tinamou","White-lipped peccary","pirana","porcupine","praying mantis","Amazonian marsh rat","Great egret","sand fly, black fly","sloth","small lizard","snake (generic)","snake (poisonous generic) or rattlesnake","speckled catfish","squirrel","tapir (South American Tapir)","termite","tortoise (Red foot, Yellow foot/Giant)","toucan","vulture","wasp","Curassow","woodpecker","Greater Grison (ferret type)","Goeldi's marmoset","White fronted capuchin","Smooth-billed Ani","angleworm","butterfly","centipede","cockroach","crab","dove","dragonfly","edible palm-dwelling larva (palm weevil)","lightning bug","moth","scorpion","snail","spider","stingray","tick","toad","walking stick (insect)","bird","mosquito","blowfly, housefly",,,,,,,
,,"Portuguese","cutia","cutiara","jacaré","sucuri","saúva ","tocandira","tatu","morcego","abelha","jiboia","lagarta","macaco prego","cigarra","caititu","quati","grilo","veado, cariacu","cachorro","cachorro-do-mato","boto cor-de-rosa","pato, marreco","poraquê","peixe","pirarucu","pulga","tamanduá","macaco barrigudo","gavião ","irara, papa-mel","guariba","beija-flor","camaleão","onca","maracajá, gato-do-mato","jacamim","mandi","pacu","traíra","jacu","macaco aranha ","martim-pescador","capivara","paca","piolho","Arara","peixe-boi","camundongo","mucura","ariranha","lontra","corujão","papagaio","inhambu","queixada","piranha","cuandu, porco-espinho ","louva-a-deus","rato de agua","Garça-Branca-Grande","pium, borrachudo","macaco preguica","calango","cobra","jararaca","surubim","serelepe, quatipuru","anta","cupim","jabutí, tartaruga","tucano ","urubu","caba","mutum","pica-pau","furão","mico de goeldi ","Caiarara","anu","minhoca","borboleta","centopéia","barata-do-mato","caranguejo","pomba","libélula","tapuru, larva","vagalume","mariposa","escorpião","caracol","aranha","arraia","carrapato","sapo","bicho-pau","passaro","mosquito, carapana","mosca",,,,,,,
,,"Spanish ","Guatusa Negra, Añuje, Agutí (black-rumped), picure","Guatín, Punchana Guatín, Punchana, curi, picurito rabudo, picurito rabilargo","babilla; cachirre","anaconda, boa, boa acuática grande","Colombia: zampopo, hormiga arriera; Venezuela: bachaco; Peru: curuhuinsi","conga, hormiga yanabe (Colombia), isula, Hormiga Veinticuatro","armadillo, carachupa (Peru), yangunturi (Peru for Giant armadillo)","murciélago","abeja; specific types: arambasa, ramiche/ramichi","boa; mantona (red-tailed boa); boa de altura","oruga, ahuihua (Peru for edible varieties), bayuca (not sure if these are edible)","mono negro (Peru), Machín Negro, Maicero Cachón","cigarra, chicharra","sajino, pecarí de collar, jabalf, Javelina, Saíno, Pecarí de Collar"," Coatí, Tejón, Achuni, zorro guache","saltón, grillo","venado","perro","Perro de Monte, Zorro Vinagre, Guanfando; Zorro Ojizarco, Zorro Negro, Perro de Orejas Corta","bufeo, delfín, tonina (del Orinoco)","pato","anguila eléctrica","pez","paiche, pirarucú o arapaima","pulga","oso hormiguero; tapia pelejo or pelejo chico for Cyclopes didactylus","Mono Lanudo Común, Choro, Churucu, mono choro (Peru), mono lanudo cafe, barrigudo de Humboldt","halcón, gavilan","comadreja, zorra (Colombia), Cabeza de Mate, Amingo, Tolomuco, Gato Negro,  manco (Peru)","mono aullador, mono coto (Peru)","colibrí, picaflor (Peru)","iguana, garipiares (Colombia)","yaguar, yaguareté, jaguar, otorongo (Peru), tigre (Peru)","Maguey, Tigrillo de Cola Larga, Caucel, tigrillo (Peru), otoronguillo (Peru)","Grulla, Trompetero Ala Gris","maparate (used in Peru for some types of catfish, including Auchenipterus sp.), cunchi (used in Peru for some types of catfish), bagre (catfish)","palometa, garopita, garopa, curhuara (Peru)","taraira, guabina, huasaco (Peru)","pava, pucacunga (Peru), pava de Spix (Peru)","Machin Blanco, Mono Araña de Vientre Amarillo, maquisapa (Peru), braceadora (Colombia)","martín pescador, catalan (Peru)","Capibara, Carpincho, Ronsoco","Guanta, Paca, Majaz, majás (Peru)","piollo, piojo","ara, guacamaya","vaca marina, manatí ","ratón","zarigüeya, rabipelado, zorro, zorrillo","Lobo Grande de Río, nutria gigante, lutria","Nutria, Lobo de Agua, lobito de rio, perro de agua (Colombia)","búho, lechuza","loro real, loro","Tinamu, perdiz, gallina, gallineta","Chancho de Monte, Cariblanco, Huangana","piraña, caribe","puerco espín, erizo (Peru), casha cushillo (Peru)","mantis religiosa","Rata de Pantano","Garza Blanca, Guyratî","jején, mosca negra","pereza, pelejo (Peru), perezoso (Peru)","lagartija","culebra, serpiente","víbora (Peru), jergón (Peru), yarara","surubí","ardilla","sachavaca, danta","comején (Peru), termitas","tortuga, morrocoy, motelo","tucán, pinsha (Peru)","buitre, gallinazo, rinahui (Peru)","avispa; specific type: ronzapa/ronsapa","mitu, montete (Peru), paujil (Peru), paujil nocturno (Peru for Nothocrax urumutum), paujil de Salvin (Peru for Mitu salvini)","pájaro carpintero, carpintero","Grisón, Perro de Agua, Hurón","Supay Pichico, Chichico Diablo","Machín Blanco, Maicero Cariblanco, mono blanco (Peru)","Garrapatero Pico Liso, Anó Común","lombriz","mariposa","ciempiés","cucaracha","cangrejo","paloma","libélula, caballito del diablo, chinchilejo (Peru)","suri","lampírido, luciernaga (Peru), añañahui (Peru)","mariposa nocturna, polilla","escorpión; alacran","caracol, churo (Peru)","araña","rayas látigo, raya","garrapata","sapo","palito andando, insectos palo","pajaro","mosquito","mosca",,,,,,,
,,"Latin","Dasyprocta spp.","Myoprocta pratti","genus Alligator","genus Eunectes","Atta sp.","Paraponera clavata","family Dasypodidae; e.g. Priodontes maximus (Giant armadillo), Dasypus novemcinctus, Dasypus kappleri","order Chiroptera","Apis mellifera; Tetragonisca angustula; Trigona amazonensis","family Boidae, subf. Boinae",,"Cebus apella","super fam. Cicadoidea","Pecari tajacu, Tayassu tajacu","genus Nasua","family Gryllidae","family Cervidae, esp. Odocoileus virginianus","Canis lupis famililaris","Speothos venaticus; Atelocynus microtis","Inia geoffrensis","Anatidae family","Electrophorus electricus",,"Arapaima gigas","order Siphonaptera","Myrmecophaga tridactyla (giant anteater); Cyclopes didactylus (silky anteater)","Lagothrix lagothricha","Family Accipitridae","Eira barbara ","Alouatta belzebul","family Trochilidae","Iguana sp.","Panthera onca","Leopardus wiedii ","Psophia crepitans","Auchenipterus sp.","Mylossoma sp.","Hoplias sp.","Penelope sp.","Ateles belzebuth","family Alcedinidae","Hydrochoerus hydrochaeris","Cuniculus paca (Agouti paca is sometimes used as well although cuniculus is the correct term.)","order Phtiraptera","family Psittacidae","Trichechus sp.","Mus musculus","family Didelphidae ","Pteronura brasiliensis","Lontra longicaudis","order Strigiformes","Amazona amazonica","family Tinamidae","Tayassu pecari","subfamily Serrasalmidae","family Erethizontidae ","order Mantodea, family Mantidae","Holochilus sciureus","Ardea alba","genus Dipteran","Choloepus sp., Bradypus sp.","order Squamata",,"Bothrops jararaca","Pseudoplatystoma sp.","family Sciuridae","Tapirus terrestris","order Isoptera","Yellow-footed: Geochelone denticulata; Red-footed: Geochelone carbonaria","Ramphastos sp.","family Cathartidae","order Hymenoptera, sub: Apocrita","Crax sp.","family Picidae","Galictis vittata ","Callimico goeldii","Cebus albifrons","Crotophaga ani","order Opisthopora","order Lepidoptera","class Chilopoda","order Blattaria","infraorder Brachyura","family Columbidae","infraorder Anisoptera","Rhynchophorus","fam: Elateridae, Fengodidae, Lampyridae","order Lepidoptera","order Scorpiones","class Gastropoda",,"Family Potamotrygonidae","superfam Ixodoidea","order Anura","order Phasmatodea",,,,,,,,,,
,,"Distribution","Dasyprocta fuliginosa: Amazonia north of Bolivia; Dasyprocta prymnolopha: Brazil only","Amazonia west of Rio Branco [InfoNat shows absent from Rio Negro, but this seems to be false]",,"Widespread Amazonia",,,"Widespread in Amazonia",,,,,"Widespread Amazonia",,"Widespread South America","Widespread South America",,"Widespread Amazonia","Not native; widespread","Widespread Amazonia","Downstream of major rapids and waterfalls",,,,"big rivers only",,"Widespread Amazonian lowlands","NW Amazon only, east of Andes, west of Rio Negro",,"Widespread Amazonia","Brazil only; other howlers are found elsewhere","Widespread",,"Widespread Amazonia","Widespread Amazonia","Northern Amazonia (N of Solimões), not in northern Colombia; Dark-winged trumpeter is found south of Solimões","Widespread Amazonia",,"Widespread Amazonia","Different types have different localized ranges","NW Amazon: N of Amazon R., W of Rio Branco, into E Ecuador","Widespread Amazonia","Widespread South America","Widespread Amazonia",,"Widespread Amazonia","Large rivers only, northern Amazonia",,"Widespread","Widespread Amazonia, but absent in central-western Colombia","Widespread Amazonia","Widespread","Widespread","Widespread Amazonia","Widespread Amazonia, except NE Colombia?","Widespread Amazonia",,,"Widespread Amazonia","Widespread South America",,"Widespread Amazonia",,,"Widespread South America","Widespread Amazonia","Guianan squirrel may be in NW Amazonia; mostly E Amazonia. Other types also have restricted ranges.","Widespread South America","Widespread","Widespread","Widespread Amazonia","Widespread South America",,"Amazonia","Widespread Amazonia","Widespread Amazonia","SW Amazonia and Peru-Colombia-Ecuador border region (not in Rio Negro at all?)","western Amazonia, W of Rio Branco","Widespread Amazonia ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Comments","InfoNatura website (http://www.natureserve.org/infonatura), Museu Goeldi animals database","InfoNat",,,"edible delicacy (compare also edible  'maniwara' ants)","painful sting; ritual significance among various groups"," Museu Goeldi animals database; other armadillo types are of different families; e.g. giant armadillo. Ignore these?",,"prioritize honey-making bees",,"prioritize edible caterpillers"," Museu Goeldi animals database",,"InfoNat","InfoNat",,"InfoNat",,"InfoNat",,,"Museu Goeldi animals database",,,,"Museu Goeldi animals database,
InfoNat","InfoNat",,"InfoNat","Museu Goeldi animals database, InfoNat",,,"Museu Goeldi animals database","Museu Goeldi animals database,
InfoNat","Museu Goeldi animals database, InfoNat",,,,"InfoNat","Museu Goeldi animals database, InfoNat",,"Museu Goeldi animals database
, InfoNat","InfoNat",,"Museu Goeldi animals database, InfoNat","InfoNat",,,"InfoNat","InfoNat",,"Museu Goeldi animals database","Museu Goeldi animals database, InfoNat","InfoNat",,"Museu Goeldi animals database",,"InfoNat","InfoNat",,"InfoNat",,,"Wikipedia",,"InfoNat","Museu Goeldi animals database","Food source","Important food source; Red-foot tortoise associated with Tupi ritual (see Balée 2000)","Museu Goeldi animals database, InfoNat","Museu Goeldi animals database",,"InfoNat",,"Museu Goeldi animals database, InfoNat","InfoNat","InfoNat","InfoNat",,,,,,,,"esp. in chonta palms",,,,,,,,,,,,,,,,,,,
"Language family","Language","Source and name of person entering data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Bora (T98) (orthography)",,,,"nihba (caiman)",,,,"lleéu; cáápɨ'nau (type of small armadillo, Sp. yangunturo)",,,,,,,,,,"iíba (small & grey, probably Mazama gouazoubira), níívuwa (brownish red, probably Mazama americana)","oohííbye (also jaguar)",,"ámánaá",,,"amóóbe",,,,,,"náámóhoó",,"páábɨho",,"oohííbye (also dog)",,,,,,,,,"ohba",,,,,,"óówaá; áájaba",,,"péétsoó",,,,,"niijyáu",,,,,,,,,,"néépicyo","ócájií",,"cúúmujɨ","nulle",,"múúmuco- +clas",,"tóhmiba",,,,,,,,"toorójɨ","nehwáyu",,"mɨʹɨʹuho",,"námoóca",,"óóvɨho",,,"bajɨ",,,,,,,,,,,,,
"Bora-Witoto","Bora boa (orthographic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","pɨrḯmïxɨ {añuje}",,,"póóaá {Spanish?}, ííkwakhyo",,"generic ant: pʰíímyepa","ĉeéï, tóótʰoḯʔaamɨ́ne, kʰáápʰɨ́naï","kʰíkʰiíxye","íímḯʔóexpʰi, téʔtsʰipa",,,,,"meéni",,,"nííβï-kʷa, iípa","ooʔíípʸe {see jaguar}",,,,,"amóópe",,"ḯḯkʰo-kʷa, ïḯkʰo {pl}","ɨɨ́xï, tʰoʔxɨ",,,,"name","pʰáápɨʔo","máányaʔo","ooʔíípʸe, tʰḯḯpʰáʔyoóï {same as puma}","mííčʰií {Spanish}",,,,,"pʰɨ́ɨ́kʰaxɨ, pʰaβa {Spanish}","kʰïḯmï",,"oʔpa","tʰaxkʰï, anʸóxkʰóʔekʷa","kwáániʔyo, kʷaʔtʰʸéxɨ","ɨ́ɨ́βaá, ínyaʔa",,"kʰïïβépa, čiʔphye",,,"t sʰoxkʰo","pʰéétsʰoó, pʰeʔtsʰókʰo, póxpoó, pʰïpʰḯxkʰopa","čoóra, piíʔyo, pʰiʔtʰʸói, tʰárápoï",,"pʰáápʰapʸa, mɨ́neépe","kwáxkʰyoxɨ",,,"nïïmɨ́ra, kʰïïβépa, aatsʰárïï",,"generic fly: éétʰepa, tsʰïïʔéï, naʔpa",,,"íínyimye","rattlesnake: tʰáákʰaʔe",,,"ókʰáxií, kʰáátʰïxé ɨʔtéexpʰi, pḯḯréenííʔyo, kʰïïβépa","tʰákʰíʔkʰi-pa, máʔarḯmïḯ-pe, mooá-pa","iíβo","nïče, tʰóʔrokʷa, rííoó, perííʔyo","anyï",,"not given",,,,,,,,,,,,,,,,,"ḯtsʰïkʰo","pʰaakwá-yï, pʰáákwa-xɨ, toʔkʷá-xɨ",,,"aʔkʰókwa, βḯḯríʔií, mïʔmɨ́pa",,,,,,,,,,,
"Bora-Witoto","Bora boa (phonemic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","pɨrɯ́mɯxɨ {añuje}",,,"póóaá {Spanish?}, ííkwakhjo",,"generic ant: pʰíímjepa","tʃeéɯ, tóótʰoɯ́ʔaamɨ́ne, kʰáápʰɨ́naɯ","kʰíkʰiíxje","íímɯ́ʔóexpʰi, téʔtsʰipa",,,,,"meéni",,,"nííβɯ-kʷa, iípa","ooʔíípʲe {see jaguar}",,,,,"amóópe",,"ɯ́ɯ́kʰo-kʷa, ɯɯ́kʰon {pl}","ɨɨ́xɯ, tʰoʔxɨ",,,,"name","pʰáápɨʔo","máánjaʔo","ooʔíípʲe, tʰɯ́ɯ́pʰáʔjoóɯ {same as puma}","míítʃʰií {Spanish}",,,,,"pʰɨ́ɨ́kʰaxɨ, pʰaβa {Spanish}","kʰɯɯ́mɯ",,"oʔpa","tʰaxkʰɯ, anʲóxkʰóʔekʷa","kwáániʔjo, kʷaʔtʰjéxɨ","ɨ́ɨ́βaá, ínjaʔa",,"kʰɯɯβépa, tʃiʔphje",,,"t sʰoxkʰo","pʰéétsʰoó, pʰeʔtsʰókʰo, póxpoó, pʰɯpʰɯ́xkʰopa","tʃoóra, piíʔjo, pʰiʔtʰʲói, tʰárápoɯ",,"pʰáápʰapʲa, mɨ́neépe","kwáxkʰjoxɨ",,,"nɯɯmɨ́ra, kʰɯɯβépa, aatsʰárɯɯ",,"generic fly: éétʰepa, tsʰɯɯʔéɯ, naʔpa",,,"íínjimje","rattlesnake: tʰáákʰaʔe",,,"ókʰáxií, kʰáátʰɯxé ɨʔtéexpʰi, pɯ́ɯ́réenííʔjo, kʰɯɯβépa","tʰákʰíʔkʰi-pa, máʔarɯ́mɯɯ́-pe, mooá-pa","iíβo","nɯtʃe, tʰóʔrokʷa, rííoó, perííʔjo","anjɯ",,"not given",,,,,,,,,,,,,,,,,"ɯ́tsʰïkʰo","pʰaakwá-yɯ, pʰáákwa-xɨ, toʔkʷá-xɨ",,,"aʔkʰókwa, βɯ́ɯ́ríʔií, mɯʔmɨ́pa",,,,,,,,,,,
"Bora-Witoto","Muinane bmr (orthographic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","ɸáttɨ",,,"búúa, ígáíβatɨ",,"generic ant: ɸíimo","góóɨ","kíkíxe","nɨ́ɨ́bɨri, mɨ́ɨbɨriʔɨ (pssible Tukano loan??)",,,,,"méeni",,,"níiβɨ-gai {red}, xííbai {white}","xɨ́kku {see jaguar/puma}",,,,,"táaβa",,"xɨ́ɨ́ku-gai","xééxɨ, túúxe",,,,"íyu","ɸááibe, rúúbéǰɨ","mááñáʔu, xúúčáíʔi {chameleon}","xɨ́kku {same as puma/dog}","mííši {Spanish}",,,,,"ɸéékaxe","xɨ́bííǰaxe",,"nimɨ́-tɨ́ɨ́ʔe","tákkɨ","gáañiʔu","xéeβa, ínóʔai, ééréda",,"gíiɸo {field mouse}, bííččaɨ {house mouse}",,,"súkku","βááú, márúúku, búru","kɨ́ɨ́rába, {many more}",,"ɸááɸaiba","gáíkku-xe, nítta",,,"gíʔiɸo",,"generic fly: gíinixa",,,"xíinimo, íttɨ {small snake}","rattlesnake: táakaʔo {sabanera}",,,"tɨ́ɨʔe","mɨ́ǰɨ́gíyɨ, máʔarɨ, táabano","xúʔúpúku","nɨ́go, xɨ́ɨ́kkɨgai, rɨ́ʔúúʔu, bárʸígai","áñɨ, súkkuga",,"kɨ́gáʔo",,,,,,,,,,,,,,,,,"xɨ́siku","ɸáaga-xe, xɨ́ɨ́múʔai, ííkkuxe",,,"xakúkúga, bɨ́ɨ́riʔi, níxaga, mɨ́ɨ́méba, xáákkɨba, βaúra",,,,,,,,,,,
