,,"English","achiote, anatto","acouchi tree","arrow cane, wildcane","avocado","banana","bastard plaintain","beans","bitterwood","bottle-gourd, calabash","brazil nut","Brazilian cedar","miriti palm","butternut tree","cacao","cane (sugar)","cashew","cashew","cipó vine","coca","cotton","cow tree of Para, balatá, purple-heart","Brazilian mohagany, crab wood","curare fish poison vine","doctor's gum","fish poison vine","genipap","Piptadenia","hallucinogenic vine","japurá","kapok tree","unguahura palm","kind of palm","chambira palm","kind of palm","kind of palm 'chonta palm'","kind of palm, assai","kind of palm","kind of tuber, purple","kind of tuber, white ","lime","maize, corn","manioc (bitter)","manioc (sweet)","milk tree","mushroom","nitta tree","palm for roof thatch","papaya","paxiuba palm","peach palm","peanut","pineapple","potato","pottery tree","copaiba, diesel tree, kerosene tree","rattlesnake's bean","hot pepper","scarlet runner bean","squash","strangler vine","sweet potato","tallow tree","tobacco","tonka bean","type of nut (tree)","type of palm","ucuqui","water vine","wild grape","yam, white","acuminate inga","mountain soursop","black palm","bamboo","Guiana tapirira",,"Renealmia","rubber tree","grass",,,,,,,,,,,,,,,,,,,,
,,"Portuguese","urucum","breu","cana para flechas, frecheira, Cana-do-rio","abacate","banana","bananeira do mato","feijão","envira","cabaça","castanha","cedro da mata","buriti","piquia","cacau","cana de açucar","caju ","cajueiro do mato","cipó","coca","algodão","macaranduba, balatá","andirobeira","curare","anani","timbó","genipapo","angico","ayahuasca","japurá","sumaumeira","patoá, patuá","tucumã",,"murumuru","babaçu","açaí","jauari","cará roxo","cará (branco, comprido)","limão","milho","mandioca","macaxeira","amapa","cogumelo","visgueiro, faveira, angelim-saia","caraná","mamão","paxiuba","pupunha","amendoim","abacaxi","batata","caraipe","copaiba","cedron, serve pra tudo","pimenta","fava","abóbora","apui","batata-doce","murupita, leiteira, tapuru","tabaco","cumarurana","cunuri","maraja","ucuqui","cipo d'agua","cucura","taioba branca","inga","anona","bacaba","taboca","tatapiririca","matamata branco",,"seringa","capim, grama",,,,,,,,,,,,,,,,,,,,
,,"Spanish","achiote","brea","caña flecha, caña brava, caña isana","palta, aguacate","cambur, bellaco, variedad de plátano","plátano, bijao (Peru)","frijoles, frejol, caraotas (negras, rojas, blancas)","tortuga caspi, pretina (Peru for tree and tumpline); carahuasca (Peru)","calabaza, auyama (Dominican Republic and Venezuela), ayote (parts of Central America), zapallo (parts of South America), tutumo (Peru for Crescentia cujete), huingo (Peru for Crescentia cujete)","castaña","cedro misionero, cedro amargo","moriche (Col, Ven), aguaje (Col, Peru), achual","almendro","cacao","caña de azúcar","anarcado, castaña de cajú, nuez de la India, marañon, cajú","anarcado","tamishi, bejuco yare","coca","algodón","balatá, balata","andiroba, cedro macho, caoba bastarda","curare","peramán, mani, ojoru","barbasco,  matapez (Colombia)","bigrande, jago, maluco, caruto, Kaguá, genipapa","angico","ayahuasca","oreja de murcielago","ceiba, lupuna (Peru for Ceiba sp.)","ungurahui (Peru), palma de seje, milpesos, patabá","cumare","chambira","huicungo (Peru)","palma de chontaduro","huasaí","huiririma (Peru)","camote, sachapapa","camote, sachapapa","limon","mazorca, maiz","yuca","yuca","amargo","champiñón, hongo","pashoco colorada, cascarón, toco, pashaco (Peru for Parkia velutina)","irapay, hoja de irapay, caraná","papaya, lechosa, melón de árbol, mamón, fruta bomba","pona, huacrapona, cashapona, macanilla, pachiuba","pijuayo (Peru), palma de melocotón/durazno,  duraznero, melocotonero","maní","piña","papa","apacharama","copaiba, aceitillo","cedrón","ají, pimentón/pimiento rojo, pucunucho (Peru), charapilla (Peru)","ayocote","calabaza, calabacines, auyamas, zapallos,  tutumo (Peru), huingo (Peru)","renaco","camote, batata dulce, batata","caucho masham, caucho masho (Peru)","tabaco","cumaru",,"cubarro, chascarrá, Chontilla (Bolivia, Colombia, Espina (Colombia), Neja, Peru), Uva De Montaña (Venezuela)","yugo, camitillo del monte (Peru)","bejuco de agua","uva de monte, uvilla (Peru)","huitina xxx (Peru), ñame","guaba, shimbillo (Peru)","guanábana","bacaba, caima, mapora, pusui","carricillo, huasca maronilla, bambú","tamu, cedro macho","machimango blanco, machimango negro","mishqui panga, mishquipanga","caucho, siringa, shiringa","hierba",,,,,,,,,,,,,,,,,,,,
,,"Latin","Bixa orellana","Protium aracouchini","Gynerium sagittatum","Persea americana","Musa sp.","Heliconia sp.",,"Duguetia sp. OR Fusaea longifolia OR Guatteria chrysopetala","Crescentia cujete (round variety); Lagenaria siceraria (bottle variety)","Couepia edulis OR Bertholletia excelsa","Cedrela fissilis","Mauritia flexuosa","Caryocar villosum","Theobroma cacao","Saccharum officinarm","Anacardium occidentale","Anacardium giganteum","Heteropsis spruceana","Erythroxylum coca","Gossypium. (barbadense: long fibers; hirsutum: short fibers) ","Manilkara huberi","Carapa guianensis","Curarea tecunarum","Symphonia globulifera","Lonchocarpus sp.","Genipapa americana","Parapiptadenia rigida","Banisteriopsis caapi","Erisma japura","Ceiba pentandra","Jessenia bataua
","Astrocaryum aculeatum","Astrocaryum chambira","Astrocaryum murumuru","Orbignya barbosiana ","Euterpe precatoria","Astrocaryum jauari","Dioscorea sp. ","Dioscorea sp. ","genus Citrus","Zea mays","Manihot sp.","Manihot sp.","Parahancornia amapa","(edible generic)","Parkia pendula","Mauritiella armata OR Lepidocaryum tenue (irapay), Mauritius carana","Carica papaya","Iriartea exorrhiza OR Iriartea deltoidea","Bactris gasipaes","Arachis hypogaea","Ananas comosus","Solanum tuberosum","Licania apetala","Copaifera sp.","Simaba cedron","Capsicum spp.","Phaseolus coccineus","Cucurbita sp.","Ficus Fagifolia","Ipomoea batatas","Sapium marmieri","Nicotiana tabacum","Taralea oppositifolia","Cunurea spruceana","Bactris maraja/concinna","Pouteria ucuqui","Doliocarpus cf. guianensis","Pourouma cecropiifolia","Xanthosoma spp, fam Araceae","Inga acumitata","Annona montana","Oenocarpus bacaba","Olyra sp.","Tapirira guianensis","Eschweilera coriacea","Renealmia alpina
","Hevea sp.",,,,,,,,,,,,,,,,,,,,,
,,"Use?","red dye, treat skin","resin for caulk, incense","arrow shafts, harpoons, darts, house construction, baskets, sieves","edible fruit","edible fruit","roofing, wrapping","edible","cloth-like bark, used for tumplines, etc.","dippers, containers, asthma","edible nut","wood for lumber","edible fruit, juice, string from leaves, woven mats","edible fruit","edible fruit; chocolate from seeds (mesoamerica only)","sweet juice","edible, medicinal ","edible fruit and nuts","baskets, cords","leaves are chewed, or toasted and powdered; mild narcotic","used for cloth, medicine, making arrows","rubber source, edible fruit","edible fruit, lumber","fish poison, male contraceptive, kind of trap","lumber, firewood, caulk boats, wounds, ulcers","fish poison, stuns fish","fruit treats bronchitis, jaundice; drink; black dye?",,"hallucinogenic drink","edible fruit","cotton-like fiber, sometimes added to ayahuasca","edible fruit","edible fruit, may be used for production of biodiesel, making hammocks with fiber","edible fruit; fibers used for weaving hammocks, bags, ropes, etc.","used in construction, edible fruit","use oil for cooking and perfume. leaves for roof of house","edible buds, fruit used for juice, trunks used for decoration; inner part of stem edible; trunk used in house construction; medicinal roots","making jewelery, hammocks made from fiber, fishing bait","edible tubers, medicinal","edible tubers, medicinal","edible fruit","edible, animal feed, flour","alcoholic drinks, medicinal, ",,"fruit edible","edible","edible fruit","roof thatch","edible fruit, medicinal","split trunk used for planks; possible starch source; decorative, animals eat fruit; spiny roots used as graters (?)","fruit and seeds edible","seeds edible","edible fruit, drink, medicinal","edible","wood for posts, forked poles, and dormers","resin, ironwood, medicinal","medicinal","edible fruit, medicinal","edible","edible fruit, seeds/latex medicinal","bark medicinal, leaves once used as paper","edible tubers, medicinal","rubber source","leaves smoked, chewed, used in rituals, medicinal","perfume, wood for lumber, poles, posts, decorative plaques","edible nut","animals eat the fruit","wood for forked poles, fruit edible, medicinal (worms in stomach)","edible, drink","edible fruit"," ","edible seeds","edible fruit, medicinal plant","edible fruit, juice, oil for cooking","leaves w/ water medicinal, hollow stems for flutes, etc.","timber, edible fruit, bark/flower medicinal","wood for construction; bark fiber for rope","dye for fibers or skin; edible fruit","rubber",,,,,,,,,,,,,,,,,,,,,
,,"Domesticated?","yes","no","no","yes","yes","no","yes","no","yes",,"no",,"no","yes","yes","yes, also native","no","no","yes","yes","no","no","influence Huaorani's mvmts, possibly","no",,,"no",,,"no","no",,,,,,,"yes","yes","yes","yes","yes","yes","no","no","no","no","yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","no","yes","no","yes","no","no","no",,"no",,"yes","yes","yes",,"no",,"no",,"no",,,,,,,,,,,,,,,,,,,,,
,,"Time/Place of Domestication","SW Amazonia, possibly SE (Clement email)"," ","Peru 2600-2000 BC","Central America 5000 BC","Papua New Guinea/ SE Asia",,"4000-3000 BC",,"Central America 8000 BC",,,,,"NW Amazonia, Andean foothills Ecuador and Colombia (Clement email)","New Guinea 10000 years ago","native to northeastern Brazil",,,"dry coastal Peru 1900 BC","barbadense: NW SA spreading northward; hirsutum: Caribbean and Mesoamerica, spreading south (Clement email)",,,,,,,,,,,,,,,,,,"Colombian sierra","Colombian sierra","introduced through Spanish Conquest","orig S. Mexican highlands 9000 years ago","SW Amazonia (Clements email)","orig SW Amazonia? ",,,,,"originated in the Mayan region (Clements email)",,"Orig. E. PeruvAndes, spread by Madeira river; Central America to Amazonia","orig. N. Parana basin in Mato Grosso and Bolivia (Clements)","native to S. Brazil and Paraguay; secondary scrub vegetation","orig. in S. Peru 5000BC",,,,"Central America 4000 BC","orig. in mountains of Central America","Tupi-Guarani in Paraguay",,"orig NW Amazonia-Orinoco 2500 BC",,"orig. edge of trop. forest in/near Bolivia, spread thru lowlands to Carib. and Mesoamerica","orig. in Guyana and Orinoco",,,,,,"northern lowland SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Distribution (for non-domesticates)?","secondary scrub vegetation and indigenous gardens","Secondary forests. Brazil, Bolivia, Colombia, Costa Rica, Ecuador, Franch Guiana, Guyana, Panama, Peru, Suriname, Venezuela",,"secondary scrub vegetation and indigenous gardens",,,,"secondary forests, native to Brazil","indigenous gardens","Secondary forests. [For Bertholletia]: elev: consistently about 200m. Brazil, Bolivia, Peru, Venezuela, Guyana, French Guiana","Brazil, Colombia, Paraguay, Argentina, Panama, Bolívia, Ecuador, Peru","Brazil, Bolivia, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela; in and near swamps",,"secondary forest","min. 24 inches of annual precipitation","secondary scrub vegetation and indigenous gardens","Brazil, Peru, Suriname, Venezuela, Guyana","secondary forest, floodplain","secondary scrub vegetation. lower alt. of eastern Andes","secondary scrub vegetation","Brazil, French Guiana, Suriname","Widespread Amazonia","Brazil, Colombia, Ecuador, Peru; secondary forest",,"secondary forests and secondary srcrub  vegetation","northern South America (south to Peru)","Brazil","Peru, Ecuador","secondary forest","northern South America",,"Brazil","Colombia, Ecuador, Peru, Venezuela","Amazonia area","northern Brazil","floodplains, swamp; northern Brazil","Amazonas state","secondary scrub vegetation","secondary scrub vegetation","secondary scrub vegetation; indigenous gardens",,"secondary scrub vegetation",,"secondary forests and fertile lowland",,"secondary forests","Mauritia carana is limited principally to the Rio Negro and Upper Orinoco regions",,"Widespread Amazonia","NOT in  venez, 200+m",,,"secondary scrub vegetation",,"secondary forests","native to Colombia and C. America","secondary scrub vegetation, indigenous garden",,,"native to Brazil",,,"secondary scrub vegetation",,,"northern Brazil","secondary forest","secondary forests","Western Amazon basin and northern Bolivia",,"Secondary scrub vegetation and indigenous gardens.North and South America (Brazil, Peru, Bolivia, Suriname, Colombia)","secondary scrub vegetation and indigenous gardens","Amazonas and Pará states in Brazil",,"Colombia to Guianas, Trinidad, Ecuador, Bolivia, Brazil, Paraguay, Peru.","secondary forests",,"secondary forests",,,,,,,,,,,,,,,,,,,,,
,,"Sources of information","La Rotta, Constanza. Especies utilizadas por la comunidad mirana, Schultes, R. E. 1990. Gifts of the Amazon flora to the world. Arnoldia 50, no. 2: 21-34.","La Rotta, Constanza. Especies utilizadas por la comunidad mirana","http://www.sfiber.com/News_SF/BioFuelsfromPeru.pdf","La Rotta, Constanza. Especies utilizadas por la comunidad mirana",,,"Kaplan, L. (1965) Archaeology and domestication in American phaseolus (beans).","La Rotta, Constanza. Especies utilizadas por la comunidad mirana; New international encyclopedia, Volume 3, p. 343","La Rotta, Constanza. Especies utilizadas por la comunidad mirana","La Rotta, Constanza. Especies utilizadas por la comunidad mirana",,,,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana.  Schultes, R. E. 1990. Gifts of the Amazon flora to the world. Arnoldia 50, no. 2: 21-34; Hirst, Kris K. Chocolate domestication: the history of the domestication of chocolate (About.com)","Laurent Grivet, C. Daniels, J.C. Glaszmann, and A. D’Hont.  A review of recent molecular genetics information for sugarcane evolution and domestication.","La Rotta, Constanza. Especies utilizadas por la comunidad mirana",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana","La Rotta, Constanza. Especies utilizadas por la comunidad mirana; Schultes, R. E. 1990. Gifts of the Amazon flora to the world. Arnoldia 50, no. 2: 21-34.","La Rotta, Constanza. Especies utilizadas por la comunidad mirana",,,"Schultes, R. E. 1990. Gifts of the Amazon flora to the world. Arnoldia 50, no. 2: 21-34.",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana",,,,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana.",,,,,,,,,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana","La Rotta, Constanza. Especies utilizadas por la comunidad mirana","La Rotta, Constanza. Especies utilizadas por la comunidad mirana.","Wang, R.L., Stec, A., Hey, J., Lukens, L., Doebley, J. (1999). The limits of selection during maize domestication.","La Rotta, Constanza. Especies utilizadas por la comunidad mirana; Charles Clement email; Schultes, R. E. 1990. Gifts of the Amazon flora to the world. Arnoldia 50, no. 2: 21-34.",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana.",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana","Field guide to palms","Charles Clement email",,"Clement, Charles.R., Rival, Laura, Cole, David M. Mobility and migration in indigenous Amazonia: contemporary ethnoecological perspectives. Ch. 6; Schultes, R. E. 1990. Gifts of the Amazon flora to the world. Arnoldia 50, no. 2: 21-34.",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana; Schultes, R. E. 1990. Gifts of the Amazon flora to the world. Arnoldia 50, no. 2: 21-34.","La Rotta, Constanza. Especies utilizadas por la comunidad mirana",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana.",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana",,,,"Charles Clement email; Dan Austin",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana.",,,,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana.","La Rotta, Constanza. Especies utilizadas por la comunidad mirana.",,,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana. ","La Rotta, Constanza. Especies utilizadas por la comunidad mirana.",,,,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana",,"La Rotta, Constanza. Especies utilizadas por la comunidad mirana.",,,,,,,,,,,,,,,,,,,,,
,,"Comments",,,,,,"plantain = plátano in Spanish, I don't know about ""bastard plaintain"". Is plaintain a word? Or is it plantain?",,,,,,,,,,,,,,,,,"very important in the Rio Negro area Hm, there is also the curare for poison darts; is this different or the same?",,,,,"called 'Banisterium' according to Aschmann 1993. (p.141)",,,"influence Huaorani's mvmts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
