English	SemanticField	Category
day	time	Basic Vocabulary
night	time	Basic Vocabulary
die/be dead	state	Basic Vocabulary
grow	state	Basic Vocabulary
sit	state	Basic Vocabulary
stand	state	Basic Vocabulary
bad/evil	quality	Basic Vocabulary
big	quality	Basic Vocabulary
cold	quality	Basic Vocabulary
correct/true	quality	Basic Vocabulary
dirty	quality	Basic Vocabulary
dry	quality	Basic Vocabulary
dull/blunt	quality	Basic Vocabulary
far	quality	Basic Vocabulary
good	quality	Basic Vocabulary
heavy	quality	Basic Vocabulary
long	quality	Basic Vocabulary
near/close	quality	Basic Vocabulary
new	quality	Basic Vocabulary
old	quality	Basic Vocabulary
rotten	quality	Basic Vocabulary
sharp	quality	Basic Vocabulary
short	quality	Basic Vocabulary
small	quality	Basic Vocabulary
thick	quality	Basic Vocabulary
thin	quality	Basic Vocabulary
wet	quality	Basic Vocabulary
hold	other	Basic Vocabulary
open/uncover	other	Basic Vocabulary
steal	other	Basic Vocabulary
turn	other	Basic Vocabulary
work	other	Basic Vocabulary
one	number	Basic Vocabulary
three	number	Basic Vocabulary
two	number	Basic Vocabulary
all	number	Basic Vocabulary
climb	motion	Basic Vocabulary
come	motion	Basic Vocabulary
fall	motion	Basic Vocabulary
flow	motion	Basic Vocabulary
fly	motion	Basic Vocabulary
hide	motion	Basic Vocabulary
lie down	motion	Basic Vocabulary
swim	motion	Basic Vocabulary
walk	motion	Basic Vocabulary
shy/ashamed	mental	Basic Vocabulary
count	mental	Basic Vocabulary
cry	mental	Basic Vocabulary
dream	mental	Basic Vocabulary
fear	mental	Basic Vocabulary
hear	mental	Basic Vocabulary
know/be knowledgeable	mental	Basic Vocabulary
laugh	mental	Basic Vocabulary
say	mental	Basic Vocabulary
see	mental	Basic Vocabulary
think	mental	Basic Vocabulary
digging stick	manufacture	Basic Vocabulary
top grinding stone	manufacture	Basic Vocabulary
bottom grinding stone	manufacture	Basic Vocabulary
house	manufacture	Basic Vocabulary
road/path	manufacture	Basic Vocabulary
rope	manufacture	Basic Vocabulary
thatch/roof	manufacture	Basic Vocabulary
spearthrower	manufacture	Basic Vocabulary
boomerang/throwing stick	manufacture	Basic Vocabulary
spear	manufacture	Basic Vocabulary
winnow	manufacture	Basic Vocabulary
above	location	Basic Vocabulary
at	location	Basic Vocabulary
below	location	Basic Vocabulary
in/inside	location	Basic Vocabulary
left	location	Basic Vocabulary
right	location	Basic Vocabulary
father	kinship	Basic Vocabulary
mother	kinship	Basic Vocabulary
wife	kinship	Basic Vocabulary
cook	impact	Basic Vocabulary
cut/hack	impact	Basic Vocabulary
dig	impact	Basic Vocabulary
hit	impact	Basic Vocabulary
kill	impact	Basic Vocabulary
pound/beat	impact	Basic Vocabulary
scratch	impact	Basic Vocabulary
shoot	impact	Basic Vocabulary
split	impact	Basic Vocabulary
squeeze	impact	Basic Vocabulary
stab/pierce	impact	Basic Vocabulary
throw	impact	Basic Vocabulary
tie up/fasten	impact	Basic Vocabulary
child	human	Basic Vocabulary
man/male	human	Basic Vocabulary
name	human	Basic Vocabulary
person/human being	human	Basic Vocabulary
woman/female	human	Basic Vocabulary
and	grammar	Basic Vocabulary
he/she	grammar	Basic Vocabulary
how?	grammar	Basic Vocabulary
I	grammar	Basic Vocabulary
if	grammar	Basic Vocabulary
no/not	grammar	Basic Vocabulary
other	grammar	Basic Vocabulary
that	grammar	Basic Vocabulary
they	grammar	Basic Vocabulary
this	grammar	Basic Vocabulary
thou	grammar	Basic Vocabulary
we-incl	grammar	Basic Vocabulary
we-excl	grammar	Basic Vocabulary
what?	grammar	Basic Vocabulary
when?	grammar	Basic Vocabulary
where?	grammar	Basic Vocabulary
who?	grammar	Basic Vocabulary
you	grammar	Basic Vocabulary
again	grammar	Basic Vocabulary
bird	fauna/flora	Basic Vocabulary
dingo/wolf	fauna/flora	Basic Vocabulary
dog	fauna/flora	Basic Vocabulary
egg	fauna/flora	Basic Vocabulary
feather	fauna/flora	Basic Vocabulary
fish	fauna/flora	Basic Vocabulary
fruit	fauna/flora	Basic Vocabulary
kangaroo/deer	fauna/flora	Basic Vocabulary
louse	fauna/flora	Basic Vocabulary
meat/flesh	fauna/flora	Basic Vocabulary
mosquito	fauna/flora	Basic Vocabulary
root	fauna/flora	Basic Vocabulary
snake	fauna/flora	Basic Vocabulary
spider	fauna/flora	Basic Vocabulary
ant	fauna/flora	Basic Vocabulary
blowfly/housefly	fauna/flora	Basic Vocabulary
ash	environment	Basic Vocabulary
cloud	environment	Basic Vocabulary
dust	environment	Basic Vocabulary
earth/soil	environment	Basic Vocabulary
fire	environment	Basic Vocabulary
flower	environment	Basic Vocabulary
fog	environment	Basic Vocabulary
grass	environment	Basic Vocabulary
lake	environment	Basic Vocabulary
leaf	environment	Basic Vocabulary
lightning	environment	Basic Vocabulary
moon	environment	Basic Vocabulary
rain	environment	Basic Vocabulary
sand	environment	Basic Vocabulary
sky	environment	Basic Vocabulary
smoke	environment	Basic Vocabulary
star	environment	Basic Vocabulary
stick/wood	environment	Basic Vocabulary
stone	environment	Basic Vocabulary
thunder	environment	Basic Vocabulary
burn	environment	Basic Vocabulary
water	environment	Basic Vocabulary
wind	environment	Basic Vocabulary
black	colour	Basic Vocabulary
red	colour	Basic Vocabulary
white	colour	Basic Vocabulary
yellow	colour	Basic Vocabulary
back	body	Basic Vocabulary
belly	body	Basic Vocabulary
blood	body	Basic Vocabulary
boil/pimple	body	Basic Vocabulary
bone	body	Basic Vocabulary
breast	body	Basic Vocabulary
ear	body	Basic Vocabulary
eye	body	Basic Vocabulary
fat/grease	body	Basic Vocabulary
hair	body	Basic Vocabulary
hand	body	Basic Vocabulary
head	body	Basic Vocabulary
intestines	body	Basic Vocabulary
leg/foot	body	Basic Vocabulary
liver	body	Basic Vocabulary
mouth	body	Basic Vocabulary
nape	body	Basic Vocabulary
neck	body	Basic Vocabulary
nose	body	Basic Vocabulary
painful/sick	body	Basic Vocabulary
shoulder	body	Basic Vocabulary
skin	body	Basic Vocabulary
tail	body	Basic Vocabulary
throat	body	Basic Vocabulary
bite	body	Basic Vocabulary
blow	body	Basic Vocabulary
breathe	body	Basic Vocabulary
chew	body	Basic Vocabulary
drink	body	Basic Vocabulary
eat	body	Basic Vocabulary
live/be alive	body	Basic Vocabulary
sleep	body	Basic Vocabulary
sniff/smell	body	Basic Vocabulary
spit	body	Basic Vocabulary
suck	body	Basic Vocabulary
swell	body	Basic Vocabulary
vomit	body	Basic Vocabulary
yawn	body	Basic Vocabulary
tongue	body	Basic Vocabulary
tooth	body	Basic Vocabulary
wing	body	Basic Vocabulary
foot	body	Basic Vocabulary
ankle	body	Basic Vocabulary
armpit	body	Basic Vocabulary
faeces	body	Basic Vocabulary
lung	body	Basic Vocabulary
sweat	body	Basic Vocabulary
itch	body	Basic Vocabulary
